Phrase,Cerebro IQ Score,Search_volume,Competing Products,CPR 8-Day Giveaways,Sponsored ASINs,Amazon Recommended,Sponsored,Organic,Amazon Recommended Rank,Sponsored_rank,Organic_rank
pet supples,122,122,1000,8,471,0,1,0,-,17,-
rooms pet,-,-,70000,-,271,0,1,0,-,18,-
furbo treats small dogs,2436,458,188,8,46,0,1,1,-,18,79
pet cam laser,-,-,176,-,168,1,1,1,438,19,4
furbo treats,5870,951,162,24,224,0,1,1,-,19,151
animal weight scale,139,139,1000,8,291,0,1,0,-,19,-
dog treats for furbo camera,2195,338,154,8,124,0,1,1,-,19,16
treats for cats,884,884,1000,16,334,0,1,0,-,20,-
treat dispenser for cats,34,34,1000,8,268,0,1,1,-,20,96
cat dog,109,2186,20000,64,311,1,1,0,35,20,-
pet dog,19,1850,100000,64,479,1,1,1,21,22,190
small animal scale,169,675,4000,16,344,0,1,0,-,22,-
pet bites,13,133,10000,8,254,0,1,1,-,22,1
bite dog treats,13,76,6000,8,281,0,1,1,-,22,250
camera app,402,3618,9000,112,128,0,1,0,-,23,-
piles peak,-,-,271,-,32,0,1,0,-,23,-
cat and dog,7,747,100000,24,398,0,1,0,-,24,-
camera for pets,509,509,1000,8,361,0,1,1,-,24,97
dog monitor camera with two way audio,479,287,599,8,349,0,1,1,-,24,136
for cats pet,1,136,100000,8,58,0,1,0,-,24,-
dog monitor,1852,1852,1000,40,391,1,1,1,31,25,94
dog monitors,21,128,6000,8,338,0,1,1,-,25,36
godoggo fetch machines,-,-,211,-,28,0,1,0,-,26,-
dog video camera,280,559,2000,16,488,1,1,1,57,26,254
cat monitor,138,138,1000,8,294,1,1,1,171,27,72
pet cams,215,215,1000,8,374,0,1,1,-,27,21
pets supplies,2,191,100000,8,403,0,1,0,-,29,-
pet scale,1272,3817,3000,88,294,0,1,0,-,30,-
dog treats camera,210,113,538,8,255,0,1,1,-,30,11
pet camera cat,256,256,1000,8,372,1,1,1,120,31,37
dog collar camera,2918,1430,490,32,437,1,1,0,346,32,-
pet cam with treat dispenser,676,100,148,8,125,0,1,1,-,32,6
night vision hd,41,406,10000,16,424,0,1,0,-,32,-
cat camera with treat dispenser,861,99,115,8,222,1,1,1,144,32,12
cat camera treat dispenser,1148,451,393,8,51,1,1,1,126,33,6
gen crate,-,-,427,-,42,0,1,0,-,33,-
pet cam treat,143,128,895,8,127,0,1,1,-,34,9
