ASIN,Name,20171,20172,2018,,2019 Q1,,2019 Q2,,July,Julym,August,Augustm,September,Septemberm,October,Octoberm,November,Novemberm,December,Decemberm,January,Januarym,February,Februarym,March,Marchm
ASIN,Item Name,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS
B06XC34DGX,"[2017 Item ] Petcube Bites Pet Camera with Treat Dispenser: HD 1080p Video Monitor, 2-Way Audio, Night Vision, Sound and Motion Alerts. For Dogs and Cats",2261,324471.66,8242,979992.37,364,57710.79,255,30502.12,6,711.72,7,830.42,17,2144.19,16,2145.07,10,1402.69,55,9700.68,3,657.77,4,880.28,4,842.23
B06XCRM2FL,"[2017 Item ] Petcube Bites Pet Camera with Treat Dispenser: HD 1080p Video Monitor, 2-Way Audio, Night Vision, Sound and Motion Alerts. For Dogs and Cats",4727,701591.09,9123,1188325.2,446,73027.44,919,111338.66,614,54162.43,26,2802.87,33,4253.46,36,4503.76,49,6313.73,47,8053.02,10,1855,17,2984.17,7,1338.8
B07CQJCQ8B,"[2019 New] HD WiFi Camera Home Security Camera for Baby/Elder/Pet, Remote PTZ Live-Video, SD Card Auto Record, Motion Detection, 2-Way Audio, Night Vision, Cloud Storage",0,0,204,7314.03,16,464.95,18,575.53,7,198.75,25,519.98,38,1312.1,19,411.67,21,419.99,53,1095.14,79,1328.79,73,1411.35,39,756.44
B07QFVN4MW,"[2019 New] IP Security Camera, Wandwoo 1080P Wireless Security Camera with Night Vision Two-Way Audio PTZ Control Home Camera White for Baby Monitor Pet Camera Nanny Camera",0,0,0,0,0,0,32,1406.18,30,1350.55,10,436.23,0,0,0,0,0,0,0,0,1,43.67,0,0,0,0
B07QJ4B5XD,"[2019 New] IP Security Camera, Wandwoo 2 PCS 1080P Wireless Security Camera with Night Vision Two-Way Audio PTZ Control Home Camera White for Baby Monitor Pet Camera Nanny Camera",0,0,0,0,0,0,36,3087.09,5,473.36,2,185.98,1,92.99,0,0,0,0,0,0,0,0,0,0,0,0
B07NWD6YSM,"[2019 New] IP Security Camera, Wandwoo 2 PCS 720P Wireless Security Camera with Night Vision Two-Way Audio PTZ Control Home Camera White for Baby Monitor Pet Nanny",0,0,0,0,0,0,3,191.97,17,1090.92,1,63.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B07TYTLHFR,"[2019 New] Wireless Secuirty Camera, SAFEVANT 720P Home Security Camera with 2 Way Audio, Motion Detection, Night Vision for Indoor/Baby/Pet Monitor",0,0,0,0,0,0,0,0,0,0,8,225.81,0,0,1,29.99,14,400.22,13,369.19,0,0,0,0,0,0
B07Y9W7C3Z,"[2020 Expandable 8CH] Wireless Security Camera System, Jecurity 8CH 1080P Full HD WiFi Outdoor/Indoor Wireless Surveillance Camera System,4 IP66 Cameras with Night Vision, Motion Alerts, No Hard Drive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,5168.75,96,16533.09,71,12661.67,56,9620.07,85,14139.81
B07WNQMLB6,"[2020 New] 1080P Full HD Security Camera System Wireless with 1TB Hard Drive,SAFEVANT 8 Channel Home NVR Systems 8PCS 2MP Oudoor Indoor Surveillance Cameras with Night Vision Motion Detection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9771.94,32,11918.55,88,30252.35,69,23809.25,65,22427.45,46,15836.15
B07VVJLYPV,"[2020 New] 1080P Full HD Security Camera System Wireless with 1TB Hard Drive,SAFEVANT 8 Channel NVR Systems 4PCS 2MP Indoor Outdoor Home Surveillance Cameras with Night Vision Motion Detection",0,0,0,0,0,0,0,0,0,0,0,0,14,3228.17,83,19387.76,43,9935.58,148,31884.81,123,25705.17,81,16426.27,48,9814.06
B07MPVY4FD,"[2020 New] 1080P Security Camera System Wireless with Monitor and 1TB Hard Drive,SAFEVANT 8 Channel Home NVR Systems 4pcs 960p Outdoor Indoor Surveillance Cameras with Night Vision Motion Detection",0,0,0,0,51,15290.92,108,32004.84,38,10582.49,12,3387.69,6,1638.19,6,1626.96,9,2421.1,34,8496.57,19,4768.03,17,4135.55,11,2855.73
B079NGG6Q3,"[2020 New] 1080P Security Camera System Wireless,SAFEVANT 8 Channel NVR Systems with 4pcs 960P 1.3MP Outdoor Indoor Home IP Cameras with Night Vision Motion Detection",0,0,716,137353.43,174,30303.72,136,23519.81,44,7625.15,36,6150.78,18,3246.53,9,1644.14,24,3816.71,25,3883.32,9,1404.05,10,1580.11,9,1375.54
B082XRP9DN,"[2020 New] 5MP Home Security Camera System with 1TB Hard Drive,SAFEVANT Super HD DVR Security Systems with 6pcs 2.5_1080P Outdoor Indoor Surveillance Cameras Night Vision Motion Detection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1413.89,17,4862.59,7,2005.33
